Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Adalar Belediyesi,Adalar Belediyesi Alt Kat Toplantı Salonu,(0216) 382 33 82,https://goo.gl/maps/Zf7484bMAHNyzVQo9,,,
Alibeyköy/Eyüp,Hasan Hüseyin Korkmazgil Kütüphanesi,0212 249 95 65,https://goo.gl/maps/UjSjYFshjkqQy4daA,,,
Arnavutköy,Arnavutköy Yaşam Merkezi,,https://goo.gl/maps/EZKKUrxqjHHDVKr16,,,
Arnavutköy,Rıfat Ilgaz Kütüphanesi,2122490945,https://goo.gl/maps/rhcq1QE5hBhafUFq5,,,
Arnavutköy,İBB Cemil Meriç Kütüphanesi,0212 249 09 45,https://goo.gl/maps/ASYsJAUhsk43pxvx8,,,
Arnavutköy,Arnavutköy İSADEM,0212 449 93 22,https://goo.gl/maps/U7fZJKgS9QGgAtM59,,,
Arnavutköy,Arnavutköy Sosyal Hizmet Merkezi,,https://goo.gl/maps/ECPHm8wLDpwtCkoF6,,,
Arnavutköy Belediyesi,ASYAM Taşoluk Binası,(0212) 682 18 13,https://goo.gl/maps/KKDptBEqmLjE5gSu9,,,
Ataköy / Bakırköy,Bakırköy Sanatçılar Parkı,(544) 356-7650,https://maps.app.goo.gl/TYGX3mqn67fx5cKc8,DOLU,,
Ataköy / Bakırköy,Emlak Kredi Ortaokulu,(0212) 559 39 21,https://goo.gl/maps/Jat3TRCq1YoKc1LN6,TAŞIMA İÇİN YARDIMA İHTİYAÇ VAR,,
Ataşehir,Zübeyde Hanım Öğretmen Evi (Eğitim ve Kültür Evi),(0216) 577 10 51,https://goo.gl/maps/x6z6E1Fr2ne6TMsN7,DOLU,,
Ataşehir,Ataşehir Kaymakamlık,(0216) 577 51 10,https://goo.gl/maps/eh493KZx11C68Vau9,DOLU,,
Ataşehir,Ataşehir AKOM,(0216) 570 50 00,https://goo.gl/maps/cFCwtCpXL4ja1oFJ6,KOLİLEMELER İÇİN DESTEK GEREKMEKTEDİR,,Koli ihtiyacı var
Ataşehir,Taç Spor,(0216) 576 90 50,https://goo.gl/maps/SzeDngjRCSN6t1pN6,DOLU,,
Ataşehir,NOVADA AVM Cemal Süreyya Gösteri Merkezi,(0216) 570 50 00,https://goo.gl/maps/BiiFPnJ77RobmdwC6,9 ŞUBAT 22.00 İTİBARİYLE İHTİYAÇ VAR,,
Ataşehir,Ataşehir Lösev İstanbul İrtibat Bürosu,0212 268 68 68,https://goo.gl/maps/jidswH8PnBGJyqdm6,KAPALI,,"Gıda, Hijyen, Kıyafet"
Ataşehir,Ferhatpaşa Taziye Evi,0216 570 50 00,https://goo.gl/maps/L1eugLb2MvKnwTLaA,9 ŞUBAT 22.00 İTİBARİYLE İHTİYAÇ VAR,,
Ataşehir,İçerenköy Neşet Ertaş Kültür Evi,(0216) 570 50 00,https://goo.gl/maps/VsLEkTJfXYDpVwCS9,9 ŞUBAT 22.00 İTİBARİYLE İHTİYAÇ VAR,,
Ataşehir,30 Ağustos Emekli Kültür Evi,,,9 ŞUBAT 22.00 İTİBARİYLE İHTİYAÇ VAR,,
Ataşehir,İBB Deprem Parkı (Deniz Gezmiş Parkı),(0216) 570 50 00,https://goo.gl/maps/zWWDSYh49gkHJfCg7,9 ŞUBAT 22.00 İTİBARİYLE İHTİYAÇ VAR,,
Ataşehir,Fenerbahçe Üniversitesi,(0216) 910 19 07,https://goo.gl/maps/44f2au98X6j1UGRcA,,,
Ataşehir,Metropol DasDas,(0216) 970 03 27,https://goo.gl/maps/AG1mtVHjGtdYgs378,AKŞAMA KADAR DOLU,,
Ataşehir,Barbaros Kapalı Pazar Yeri,,https://maps.app.goo.gl/1xMSnZBbGNPMvDNb7,9 ŞUBAT 12.00DE TIR GELECEK DESTEK GEREKMEKTEDİR,,
Ataşehir,Yeditepe Üniversitesi,0 554 695 46 36,https://goo.gl/maps/5vgb6dLs3GG8FXYb9,ŞU ANDAN İTİBAREN YARDIM KABUL EDILMIYOR,,
Ataşehir, Cemile Besler İlkokulu,0 551 019 47 67,https://goo.gl/maps/ZdM7rqLYJ5PfMbwr6,DOLU,,
Ataşehir,Cemile Besler İlkokulu,(0216) 455 58 40,https://goo.gl/maps/XX1K3FNsT5nnVuCT9,,,
Ataşehir,Ataşehir Esatpaşa ÇEM,ALO 153,https://goo.gl/maps/7RsXDqWXeSiKzp4L6,,,
Ataşehir,Ataşehir Sosyal Hizmet Merkezi,2165775743,https://goo.gl/maps/Y1xM3tqPwWz1HRRU8,,,
Avcilar,Fakir Baykurt Kütüphanesi,,https://goo.gl/maps/JYhDnGhpPt8ez2Eg9,,,
